x,y
-0.12,-1.04
0.78,-0.14
0.33,-0.58
0.76,-0.16
0.77,-0.15
0.76,-0.16
0.75,-0.17
0.76,-0.17
0.77,-0.16
0.76,-0.17
0.76,-0.17
0.76,-0.17
0.77,-0.17
0.76,-0.18
0.76,-0.18
0.76,-0.18
0.77,-0.18
0.78,-0.17
0.76,-0.18
0.79,-0.17
0.59,-0.36
0.78,-0.17
0.77,-0.18
0.54,-0.42
0.37,-0.59
0.41,-0.55
0.53,-0.41
0.36,-0.57
0.39,-0.57
0.37,-0.59
0.37,-0.59
0.34,-0.63
0.35,-0.63
0.34,-0.63
0.34,-0.64
0.34,-0.64
0.34,-0.64
0.35,-0.64
0.34,-0.64
0.31,-0.65
0.36,-0.66
0.34,-0.65
0.31,-0.65
0.32,-0.67
0.36,-0.67
0.33,-0.67
0.3,-0.66
0.31,-0.66
0.31,-0.67
0.31,-0.67
