x,y
0.01,-0.03
-0.55,-0.53
-0.53,-0.53
-0.52,-0.53
-0.52,-0.53
-0.57,-0.57
-0.58,-0.58
-0.57,-0.58
-0.62,-0.63
-0.67,-0.67
-0.66,-0.68
-0.62,-0.64
-0.67,-0.68
-0.62,-0.64
-0.65,-0.63
-0.63,-0.64
-0.61,-0.67
-0.57,-0.63
-0.62,-0.67
-0.58,-0.61
-0.68,-0.67
-0.65,-0.71
-0.65,-0.72
-0.64,-0.71
-0.66,-0.73
-0.66,-0.73
-0.66,-0.7
-0.68,-0.69
-0.68,-0.71
-0.68,-0.72
-0.61,-0.69
-0.68,-0.71
-0.64,-0.68
-0.68,-0.73
-0.67,-0.73
-0.68,-0.75
-0.68,-0.73
-0.68,-0.73
-0.65,-0.75
-0.66,-0.74
-0.75,-0.83
-0.67,-0.75
-0.65,-0.76
-0.66,-0.75
-0.66,-0.75
-0.66,-0.75
-0.74,-0.86
-0.77,-0.86
-0.77,-0.86
-0.69,-0.78
